year	iso	eligible	votes	invalid	valid	oevp	spoe	fpoe	gruene	kpoe
2003	1	3034	1700	10	1690	629	264	154	172	448
2003	2	11095	6508	79	6429	2562	1045	555	797	1407
2003	3	17161	9850	103	9747	4140	1644	844	1142	1872
2003	4	17689	9426	150	9276	2458	3196	740	598	2178
2003	5	16720	8232	118	8114	2287	2537	697	526	1978
2003	6	22033	11544	127	11417	3406	3183	891	976	2856
2003	7	9611	5566	59	5507	1858	1874	433	251	1056
2003	8	10616	6753	51	6702	2885	1205	466	816	1262
2003	9	9308	5899	50	5849	2666	949	522	585	1070
2003	10	4606	2805	11	2794	1233	531	227	310	473
2003	11	6236	4039	36	4003	2001	498	291	442	737
2003	12	13483	8629	64	8565	3433	2038	605	747	1665
2003	13	7347	4217	47	4170	1347	1263	417	280	822
2003	14	13180	7425	84	7341	2378	2286	508	519	1578
2003	15	10197	5792	64	5728	1795	1880	475	275	1237
2003	16	9984	5955	77	5878	2065	1923	426	308	1087
2003	17	5005	2833	48	2785	997	935	226	128	476
2008	1	2931	1529	16	1513	617	176	133	299	215
2008	2	11870	6460	81	6379	2620	746	439	1501	830
2008	3	18324	9822	108	9714	4156	1304	790	1996	1091
2008	4	18892	8987	133	8854	2408	2465	1183	1103	1133
2008	5	17495	7567	137	7430	2032	1927	1027	884	1079
2008	6	23223	11108	217	10891	3523	2285	1153	1729	1581
2008	7	9886	5359	89	5270	2008	1354	726	359	493
2008	8	11489	6778	136	6642	2993	869	504	1350	633
2008	9	9479	5745	96	5649	2729	723	498	930	552
2008	10	4692	2692	35	2657	1232	386	256	406	257
2008	11	6801	4146	47	4099	2091	400	319	762	378
2008	12	14213	8542	127	8415	3595	1533	783	1273	839
2008	13	7666	4172	56	4116	1435	1010	568	394	425
2008	14	13985	7061	161	6900	2356	1594	930	815	767
2008	15	11221	5853	89	5764	1860	1524	819	457	661
2008	16	10557	5703	84	5619	2029	1410	790	475	547
2008	17	5296	2690	49	2641	912	636	451	201	234
2012	1	3223	1485	20	1465	451	152	158	242	351
2012	2	13145	6354	108	6246	2143	639	569	1169	1329
2012	3	19937	9776	133	9643	3435	1053	935	1680	1984
2012	4	20842	8771	134	8637	2202	1662	1397	954	2020
2012	5	17759	6741	136	6605	1694	1126	1027	686	1731
2012	6	24590	10707	207	10500	2862	1566	1404	1380	2696
2012	7	10352	5376	109	5267	1845	1072	928	324	887
2012	8	12040	6709	102	6607	2628	804	807	926	1109
2012	9	9864	5471	92	5379	2299	548	694	673	902
2012	10	4808	2576	30	2546	1044	318	278	326	436
2012	11	7440	4200	58	4142	1904	375	392	595	674
2012	12	14969	8806	164	8642	3175	1504	985	981	1519
2012	13	7826	3815	100	3715	1126	775	686	258	669
2012	14	14600	6927	131	6796	2057	1180	1226	636	1340
2012	15	11547	5758	128	5630	1723	1123	1056	361	1130
2012	16	11279	5778	107	5671	1906	1149	1006	333	1026
2012	17	5584	2642	26	2616	814	494	549	181	429
2017	1	3404	1527	7	1520	512	72	173	209	435
2017	2	13930	6804	132	6672	2285	414	646	1008	1778
2017	3	21282	10429	152	10277	3754	755	1076	1455	2447
2017	4	21701	8910	114	8796	2432	1273	1616	824	2260
2017	5	19203	6904	178	6726	1826	815	1283	577	1906
2017	6	26287	11394	156	11238	3421	1113	1625	1301	3062
2017	7	11263	5436	54	5382	2273	680	1137	293	814
2017	8	12464	6897	48	6849	3058	483	977	857	1099
2017	9	9966	5609	52	5557	2673	367	734	596	850
2017	10	4934	2686	47	2639	1250	194	360	285	418
2017	11	7744	4412	51	4361	2089	249	502	531	704
2017	12	15506	8769	116	8653	3888	834	1294	847	1320
2017	13	8077	3806	93	3713	1380	522	857	227	599
2017	14	15657	7136	135	7001	2402	845	1502	562	1406
2017	15	12403	5939	108	5831	2169	795	1420	303	939
2017	16	12440	6155	74	6081	2471	879	1404	312	781
2017	17	6595	2941	92	2849	1083	333	724	156	441
